"category","is_female","age_group","total","n","prop"
"Diabetes","1","[40,45)",14215,327169,0.0434484929806919
"Respiratory disease","1","[65,70)",27611,318542,0.0866793075952308
"Parkinsonism and tremor","1","[80,100]",9989,295206,0.0338373881289676
"Thyroid disease","1","[45,50)",33773,335558,0.100647280052927
"Cerebrovascular disease","1","[80,100]",16058,295206,0.0543959133621945
"Sleep disturbance","0","[45,50)",7390,305129,0.0242192646388904
"Atrial fibrillation","1","[65,70)",11075,318542,0.0347677857237036
"Visual impairment","0","[75,80)",46564,151488,0.307377482044782
"Arthritis","0","[75,80)",36263,151488,0.239378696662442
"Peripheral vascular disease","1","[70,75)",8455,244787,0.0345402329372066
"Peripheral vascular disease","0","[40,45)",437,300490,0.00145429132417052
"Arthritis","1","[80,100]",98691,295206,0.334312310725392
"Hypertension","1","[55,60)",113627,384918,0.295197938262175
"Dizziness","0","[65,70)",14542,281362,0.0516843070492817
"Diabetes","1","[80,100]",64021,295206,0.216868898328625
"Dyspnoea","1","[65,70)",28077,318542,0.08814222300356
"Hypertension","1","[50,55)",83503,360738,0.231478247370668
"Diabetes","1","[55,60)",42912,384918,0.111483484794164
"Thyroid disease","1","[75,80)",47462,186752,0.254144533927347
"Diabetes","0","[80,100]",55769,191432,0.291325379246939
"Dyspnoea","0","[75,80)",23667,151488,0.156230196451204
"Urinary system disease","0","[60,65)",36239,344312,0.105250470503497
"Hearing impairment","0","[75,80)",9153,151488,0.0604206273764259
"Diabetes","0","[55,60)",51170,349624,0.146357229480814
"Diabetes","1","[65,70)",54509,318542,0.171120291829649
"Hypotension / syncope","1","[55,60)",3119,384918,0.0081030245402917
"Respiratory disease","0","[70,75)",24988,202067,0.123661953708423
"Diabetes","0","[45,50)",26388,305129,0.086481455384444
"Hypertension","0","[50,55)",100659,328467,0.306450876343742
"Heart failure","0","[40,45)",922,300490,0.00306832174115611
"Respiratory disease","1","[60,65)",24725,384813,0.0642519873289104
"Dizziness","1","[80,100]",37157,295206,0.125868037912509
"Visual impairment","0","[80,100]",61192,191432,0.319653976346692
"Diabetes","1","[60,65)",51629,384813,0.134166465270144
"Atrial fibrillation","0","[45,50)",2612,305129,0.00856031383447657
"Arthritis","0","[60,65)",43600,344312,0.126629336183462
"Osteoporosis","1","[80,100]",53795,295206,0.182228680988869
"Thyroid disease","1","[65,70)",59508,318542,0.186813669782949
"Visual impairment","1","[65,70)",69636,318542,0.218608535138224
"Peptic ulcer","1","[60,65)",1515,384813,0.00393697718112434
"Hearing impairment","1","[80,100]",22608,295206,0.0765838092721693
"Urinary system disease","0","[75,80)",44155,151488,0.291475232361639
"Hearing impairment","0","[70,75)",9248,202067,0.045766998074896
"Hypertension","0","[55,60)",131766,349624,0.376879161613619
"Anaemia and haematinic deficiency","0","[55,60)",11156,349624,0.0319085646294305
"Visual impairment","0","[55,60)",17768,349624,0.0508203098185479
"Memory and cognitive problems","0","[70,75)",3892,202067,0.0192609382036651
"Arthritis","1","[55,60)",43271,384918,0.112416150972415
"Urinary incontinence","0","[80,100]",9246,191432,0.0482991349408667
"Dizziness","1","[55,60)",18903,384918,0.0491091609121943
"Hearing impairment","1","[70,75)",9684,244787,0.0395609243954949
"Thyroid disease","0","[50,55)",12037,328467,0.0366459948792421
"Diabetes","1","[75,80)",42404,186752,0.227060486634681
"Thyroid disease","0","[70,75)",18221,202067,0.0901730614103243
"Weight loss and anorexia","1","[75,80)",7475,186752,0.0400263450993831
"Ischaemic heart disease","1","[80,100]",21227,295206,0.0719057200734402
"Ischaemic heart disease","1","[75,80)",10058,186752,0.0538575222755312
"Atrial fibrillation","1","[55,60)",3925,384918,0.0101969770184819
"Hearing impairment","1","[75,80)",9511,186752,0.0509285041124058
"Arthritis","1","[70,75)",62399,244787,0.254911412779273
"Heart failure","1","[80,100]",34048,295206,0.115336409151576
"Dyspnoea","1","[55,60)",21477,384918,0.0557962994715758
