category,concept_id,score,fi
PVD,725040,1,vafi
PVD,725041,1,vafi
PVD,725042,1,vafi
PVD,725043,1,vafi
PVD,725044,1,vafi
PVD,725045,1,vafi
PVD,725046,1,vafi
PVD,725047,1,vafi
PVD,725048,1,vafi
PVD,725049,1,vafi
PVD,725050,1,vafi
PVD,725051,1,vafi
PVD,725052,1,vafi
PVD,725053,1,vafi
PVD,725054,1,vafi
PVD,725055,1,vafi
Anemia,441269,1,vafi
Anemia,4219853,1,vafi
Anemia,4160887,1,vafi
Anemia,36713763,1,vafi
Lung,4120262,1,vafi
Lung,4277596,1,vafi
Lung,4279553,1,vafi
Lung,37208102,1,vafi
Lung,4119786,1,vafi
Lung,4197819,1,vafi
Lung,4025168,1,vafi
Liver,4267417,1,vafi
Arthritis,4035611,1,vafi
Arthritis,4083556,1,vafi
Arthritis,80809,1,vafi
Arthritis,4035439,1,vafi
Arthritis,44783205,1,vafi
Arthritis,40481943,1,vafi
Osteo,40480160,1,vafi
Osteo,80824,1,vafi
Osteo,4201705,1,vafi
Osteo,80502,1,vafi
Osteo,40305987,1,vafi
Osteo,73574,1,vafi
Osteo,75634,1,vafi
Kidney,4054992,1,vafi
Kidney,36716651,1,vafi
Kidney,4056478,1,vafi
Kidney,443597,1,vafi
Kidney,45763854,1,vafi
Kidney,45763855,1,vafi
DuraMed,915610,1,vafi
Cancer,4158910,1,vafi
Cancer,4212994,1,vafi
Cancer,40483374,1,vafi
Cancer,4082627,1,vafi
Cancer,4301666,1,vafi
Cancer,40482072,1,vafi
Cancer,4184976,1,vafi
Cancer,4029188,1,vafi
Cancer,40482893,1,vafi
Cancer,40492268,1,vafi
Cancer,40488812,1,vafi
Cancer,4217892,1,vafi
Cancer,4044708,1,vafi
DuraMed,937581,1,vafi
DuraMed,937582,1,vafi
Hearing,953257,1,vafi
Hearing,953258,1,vafi
Hearing,953259,1,vafi
Dementia,725120,1,vafi
HF,1314353,1,vafi
Lung,1314354,1,vafi
DuraMed,1314394,1,vafi
CVA,1314439,1,vafi
CVA,1314440,1,vafi
Cancer,1314504,1,vafi
Cancer,1314505,1,vafi
Cancer,1314507,1,vafi
Cancer,4264693,1,vafi
Cancer,37396742,1,vafi
Cancer,4040379,1,vafi
Diabetes,4009303,1,vafi
Diabetes,201826,1,vafi
Diabetes,4228443,1,vafi
Vision,45757719,1,vafi
Vision,372906,1,vafi
Vision,45757720,1,vafi
Vision,45757722,1,vafi
Vision,4103741,1,vafi
Vision,45757721,1,vafi
Vision,45757708,1,vafi
Vision,45757699,1,vafi
CAD,312327,1,vafi
CAD,37309626,1,vafi
CAD,4329847,1,vafi
HF,4273632,1,vafi
HF,4233424,1,vafi
HF,4014159,1,vafi
HF,37309625,1,vafi
HF,4195785,1,vafi
HF,4242669,1,vafi
HF,4004279,1,vafi
HF,316139,1,vafi
AFIB,45768480,1,vafi
AFIB,4232697,1,vafi
AFIB,4141360,1,vafi
AFIB,4232691,1,vafi
Cancer,4033836,1,vafi
Cancer,4100425,1,vafi
Cancer,4197474,1,vafi
Cancer,4197475,1,vafi
Cancer,435755,1,vafi
Cancer,4297185,1,vafi
Cancer,36712715,1,vafi
Cancer,4291143,1,vafi
Cancer,36712713,1,vafi
Cancer,4338759,1,vafi
Cancer,4335884,1,vafi
Cancer,4313205,1,vafi
Cancer,4309539,1,vafi
CVA,443454,1,vafi
CVA,321887,1,vafi
Lung,2101876,1,vafi
Depress,2101900,1,vafi
Falls,2104915,1,vafi
Falls,2104916,1,vafi
Falls,2104917,1,vafi
Falls,2104918,1,vafi
CAD,2107216,1,vafi
CAD,2107217,1,vafi
CAD,2107218,1,vafi
CAD,2107219,1,vafi
CAD,2107220,1,vafi
CAD,2107221,1,vafi
CAD,2107222,1,vafi
CAD,2107223,1,vafi
CAD,2107224,1,vafi
CAD,2107226,1,vafi
CAD,2107227,1,vafi
CAD,2107228,1,vafi
CAD,2107231,1,vafi
CAD,2107242,1,vafi
CAD,2107243,1,vafi
CAD,2107244,1,vafi
CAD,2107250,1,vafi
PVD,2107577,1,vafi
PVD,2107580,1,vafi
PVD,2107592,1,vafi
PVD,2107598,1,vafi
PVD,2107599,1,vafi
