"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",300490,0,0
"[40,45)",1,"Activity limitation",327169,0,0
"[45,50)",0,"Activity limitation",305129,0,0
"[45,50)",1,"Activity limitation",335558,0,0
"[50,55)",0,"Activity limitation",328467,0,0
"[50,55)",1,"Activity limitation",360738,0,0
"[55,60)",0,"Activity limitation",349624,0,0
"[55,60)",1,"Activity limitation",384918,0,0
"[60,65)",0,"Activity limitation",344312,0,0
"[60,65)",1,"Activity limitation",384813,0,0
"[65,70)",0,"Activity limitation",281362,0,0
"[65,70)",1,"Activity limitation",318542,0,0
"[70,75)",0,"Activity limitation",202067,0,0
"[70,75)",1,"Activity limitation",244787,0,0
"[75,80)",0,"Activity limitation",151488,0,0
"[75,80)",1,"Activity limitation",186752,0,0
"[80,100]",0,"Activity limitation",191432,0,0
"[80,100]",1,"Activity limitation",295206,0,0
"[40,45)",0,"Anaemia and haematinic deficiency",300490,0,0
"[40,45)",1,"Anaemia and haematinic deficiency",327169,0,0
"[45,50)",0,"Anaemia and haematinic deficiency",305129,0,0
"[45,50)",1,"Anaemia and haematinic deficiency",335558,0,0
"[50,55)",0,"Anaemia and haematinic deficiency",328467,0,0
"[50,55)",1,"Anaemia and haematinic deficiency",360738,0,0
"[55,60)",0,"Anaemia and haematinic deficiency",349624,0,0
"[55,60)",1,"Anaemia and haematinic deficiency",384918,0,0
"[60,65)",0,"Anaemia and haematinic deficiency",344312,0,0
"[60,65)",1,"Anaemia and haematinic deficiency",384813,0,0
"[65,70)",0,"Anaemia and haematinic deficiency",281362,0,0
"[65,70)",1,"Anaemia and haematinic deficiency",318542,0,0
"[70,75)",0,"Anaemia and haematinic deficiency",202067,0,0
"[70,75)",1,"Anaemia and haematinic deficiency",244787,0,0
"[75,80)",0,"Anaemia and haematinic deficiency",151488,0,0
"[75,80)",1,"Anaemia and haematinic deficiency",186752,0,0
"[80,100]",0,"Anaemia and haematinic deficiency",191432,0,0
"[80,100]",1,"Anaemia and haematinic deficiency",295206,0,0
"[40,45)",0,"Arthritis",300490,16354,0.0544244400812007
"[40,45)",1,"Arthritis",327169,16063,0.0490969498943971
"[45,50)",0,"Arthritis",305129,23613,0.0773869412609093
"[45,50)",1,"Arthritis",335558,25806,0.0769047377800559
"[50,55)",0,"Arthritis",328467,34212,0.104156581939738
"[50,55)",1,"Arthritis",360738,40991,0.113630945450715
"[55,60)",0,"Arthritis",349624,48703,0.139301077729218
"[55,60)",1,"Arthritis",384918,59408,0.154339365786999
"[60,65)",0,"Arthritis",344312,59527,0.172886800343874
"[60,65)",1,"Arthritis",384813,73384,0.190700418125167
"[65,70)",0,"Arthritis",281362,63128,0.224365763678109
"[65,70)",1,"Arthritis",318542,81311,0.255259902932737
"[70,75)",0,"Arthritis",202067,54051,0.267490485828958
"[70,75)",1,"Arthritis",244787,77399,0.316189176712816
"[75,80)",0,"Arthritis",151488,45898,0.302981094212083
"[75,80)",1,"Arthritis",186752,66393,0.355514264907471
"[80,100]",0,"Arthritis",191432,62904,0.328597099753437
"[80,100]",1,"Arthritis",295206,116010,0.392979817483385
"[40,45)",0,"Atrial fibrillation",300490,0,0
"[40,45)",1,"Atrial fibrillation",327169,0,0
"[45,50)",0,"Atrial fibrillation",305129,0,0
"[45,50)",1,"Atrial fibrillation",335558,0,0
"[50,55)",0,"Atrial fibrillation",328467,0,0
"[50,55)",1,"Atrial fibrillation",360738,0,0
"[55,60)",0,"Atrial fibrillation",349624,0,0
"[55,60)",1,"Atrial fibrillation",384918,0,0
"[60,65)",0,"Atrial fibrillation",344312,0,0
"[60,65)",1,"Atrial fibrillation",384813,0,0
"[65,70)",0,"Atrial fibrillation",281362,0,0
"[65,70)",1,"Atrial fibrillation",318542,0,0
"[70,75)",0,"Atrial fibrillation",202067,0,0
"[70,75)",1,"Atrial fibrillation",244787,0,0
"[75,80)",0,"Atrial fibrillation",151488,0,0
"[75,80)",1,"Atrial fibrillation",186752,0,0
"[80,100]",0,"Atrial fibrillation",191432,0,0
"[80,100]",1,"Atrial fibrillation",295206,0,0
"[40,45)",0,"Cerebrovascular disease",300490,0,0
"[40,45)",1,"Cerebrovascular disease",327169,0,0
"[45,50)",0,"Cerebrovascular disease",305129,0,0
"[45,50)",1,"Cerebrovascular disease",335558,0,0
"[50,55)",0,"Cerebrovascular disease",328467,0,0
"[50,55)",1,"Cerebrovascular disease",360738,0,0
"[55,60)",0,"Cerebrovascular disease",349624,0,0
