"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[80,100]",0,190321,63611,77115,43963,0.3342,0.4051,0.2309
"[65,70)",1,306921,74154,31927,154438,0.2416,0.104,0.5031
"[55,60)",1,373059,51663,14394,198854,0.1384,0.0385,0.533
"[65,70)",0,271331,61558,24858,140948,0.2268,0.0916,0.5194
"[55,60)",0,339385,39041,10155,180386,0.115,0.0299,0.5315
"[70,75)",1,241576,73016,40628,106691,0.3022,0.1681,0.4416
"[70,75)",0,199529,58778,31129,90550,0.2945,0.156,0.4538
"[40,45)",0,293243,11476,1557,121647,0.0391,0.0053,0.4148
"[80,100]",1,293164,96990,121653,66353,0.3308,0.4149,0.2263
"[50,55)",0,319416,26523,5544,162430,0.083,0.0173,0.5085
"[60,65)",1,372284,64065,20908,198466,0.172,0.0561,0.5331
"[50,55)",1,349735,39069,8883,183264,0.1117,0.0253,0.524
"[75,80)",0,150268,50686,36793,54276,0.3373,0.2448,0.3611
"[60,65)",0,333642,51462,15671,181655,0.1542,0.0469,0.5444
"[75,80)",1,184880,62139,45981,66539,0.3361,0.2487,0.3599
"[45,50)",1,325825,28667,5434,162771,0.0879,0.0166,0.4995
"[40,45)",1,317418,20614,2980,149294,0.0649,0.0093,0.4703
"[45,50)",0,297448,17209,2990,138553,0.0578,0.01,0.4658
