"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,292445,15596,2257,274592,0.0533,0.0077,0.9389
"[55,60)",1,372231,64265,21132,286834,0.1726,0.0567,0.7705
"[80,100]",0,190305,57321,95662,37322,0.3012,0.5026,0.1961
"[70,75)",1,241491,77362,56586,107543,0.3203,0.2343,0.4453
"[65,70)",0,270980,68553,32846,169581,0.2529,0.1212,0.6258
"[70,75)",0,199453,62649,41707,95097,0.3141,0.2091,0.4767
"[65,70)",1,306497,82363,43646,180488,0.2687,0.1424,0.5888
"[55,60)",0,338725,47767,13917,277041,0.141,0.041,0.8178
"[60,65)",0,333097,60344,21450,251303,0.1811,0.0643,0.7544
"[40,45)",1,316156,28938,4811,282407,0.0915,0.0152,0.8932
"[80,100]",1,293129,85098,153928,54103,0.2903,0.5251,0.1845
"[45,50)",0,296738,22329,4208,270201,0.0752,0.0141,0.9105
"[75,80)",1,184854,61778,62146,60930,0.3341,0.3361,0.3296
"[75,80)",0,150243,50523,48190,51530,0.3362,0.3207,0.3429
"[50,55)",0,318737,33429,7885,277423,0.1048,0.0247,0.8703
"[50,55)",1,348699,51089,13474,284136,0.1465,0.0386,0.8148
"[60,65)",1,371564,76352,30035,265177,0.2054,0.0808,0.7136
"[45,50)",1,324840,38323,8302,278215,0.1179,0.0255,0.8564
