"age_group","is_female","n","prefrail","frail"
"[60,65)",0,333642,0.1542,0.0469
"[80,100]",1,293164,0.3308,0.4149
"[45,50)",0,297448,0.0578,0.01
"[50,55)",1,349735,0.1117,0.0253
"[75,80)",1,184880,0.3361,0.2487
"[75,80)",0,150268,0.3373,0.2448
"[60,65)",1,372284,0.172,0.0561
"[50,55)",0,319416,0.083,0.0173
"[45,50)",1,325825,0.0879,0.0166
"[40,45)",1,317418,0.0649,0.0093
"[70,75)",0,199529,0.2945,0.156
"[65,70)",0,271331,0.2268,0.0916
"[80,100]",0,190321,0.3342,0.4051
"[55,60)",0,339385,0.115,0.0299
"[55,60)",1,373059,0.1384,0.0385
"[70,75)",1,241576,0.3022,0.1681
"[40,45)",0,293243,0.0391,0.0053
"[65,70)",1,306921,0.2416,0.104
