"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",300490,1551,0.00516156943658691
"[40,45)",1,"AFIB",327169,661,0.00202036256491293
"[45,50)",0,"AFIB",305129,2715,0.00889787598032308
"[45,50)",1,"AFIB",335558,1150,0.0034271273520524
"[50,55)",0,"AFIB",328467,5057,0.0153957627402448
"[50,55)",1,"AFIB",360738,2047,0.00567447843032894
"[55,60)",0,"AFIB",349624,9181,0.0262596389263895
"[55,60)",1,"AFIB",384918,4079,0.0105970622314363
"[60,65)",0,"AFIB",344312,15133,0.0439514161574386
"[60,65)",1,"AFIB",384813,7276,0.0189078851286209
"[65,70)",0,"AFIB",281362,21040,0.074779110185455
"[65,70)",1,"AFIB",318542,11662,0.0366105568496462
"[70,75)",0,"AFIB",202067,24111,0.119321809102921
"[70,75)",1,"AFIB",244787,16296,0.0665721627374003
"[75,80)",0,"AFIB",151488,27340,0.180476341360372
"[75,80)",1,"AFIB",186752,20670,0.110681545579164
"[80,100]",0,"AFIB",191432,54616,0.285302352793681
"[80,100]",1,"AFIB",295206,63860,0.216323516459693
"[40,45)",0,"Anemia",300490,4855,0.0161569436586908
"[40,45)",1,"Anemia",327169,19548,0.0597489370936733
"[45,50)",0,"Anemia",305129,6696,0.0219448167824101
"[45,50)",1,"Anemia",335558,23130,0.068929961437367
"[50,55)",0,"Anemia",328467,9427,0.028699991171107
"[50,55)",1,"Anemia",360738,22516,0.0624164906386352
"[55,60)",0,"Anemia",349624,13412,0.0383612109008535
"[55,60)",1,"Anemia",384918,19704,0.0511901236107431
"[60,65)",0,"Anemia",344312,17539,0.0509392643881131
"[60,65)",1,"Anemia",384813,22438,0.0583088409175366
"[65,70)",0,"Anemia",281362,23112,0.0821432887170265
"[65,70)",1,"Anemia",318542,27428,0.0861048150636337
"[70,75)",0,"Anemia",202067,24570,0.121593332904433
"[70,75)",1,"Anemia",244787,29521,0.120598724605473
"[75,80)",0,"Anemia",151488,25229,0.166541244190959
"[75,80)",1,"Anemia",186752,29758,0.159345013708019
"[80,100]",0,"Anemia",191432,48479,0.25324397174976
"[80,100]",1,"Anemia",295206,67386,0.22826771813581
"[40,45)",0,"Anxiety",300490,34713,0.115521315185198
"[40,45)",1,"Anxiety",327169,62946,0.192395978836626
"[45,50)",0,"Anxiety",305129,31876,0.104467290883528
"[45,50)",1,"Anxiety",335558,60889,0.181455962903581
