category,concept_id,score,fi,chronic_category
Activity limitation,4053246,1,efi_sno,0
Activity limitation,4059770,1,efi_sno,0
Activity limitation,4052648,1,efi_sno,0
Activity limitation,44802445,1,efi_sno,0
Activity limitation,4167605,1,efi_sno,0
Anaemia and haematinic deficiency,40332688,1,efi_sno,0
Anaemia and haematinic deficiency,4058711,1,efi_sno,0
Anaemia and haematinic deficiency,4059187,1,efi_sno,0
Anaemia and haematinic deficiency,4059188,1,efi_sno,0
Anaemia and haematinic deficiency,4077222,1,efi_sno,0
Anaemia and haematinic deficiency,4306430,1,efi_sno,0
Anaemia and haematinic deficiency,4306582,1,efi_sno,0
Anaemia and haematinic deficiency,4061927,1,efi_sno,0
Anaemia and haematinic deficiency,4099508,1,efi_sno,0
Anaemia and haematinic deficiency,4003186,1,efi_sno,0
Anaemia and haematinic deficiency,136949,1,efi_sno,0
Anaemia and haematinic deficiency,4002495,1,efi_sno,0
Anaemia and haematinic deficiency,4029669,1,efi_sno,0
Anaemia and haematinic deficiency,4029670,1,efi_sno,0
Anaemia and haematinic deficiency,4003185,1,efi_sno,0
Anaemia and haematinic deficiency,4101280,1,efi_sno,0
Anaemia and haematinic deficiency,4100822,1,efi_sno,0
Anaemia and haematinic deficiency,40389959,1,efi_sno,0
Anaemia and haematinic deficiency,40389960,1,efi_sno,0
Anaemia and haematinic deficiency,40389961,1,efi_sno,0
Anaemia and haematinic deficiency,4100985,1,efi_sno,0
Anaemia and haematinic deficiency,4198185,1,efi_sno,0
Anaemia and haematinic deficiency,4262948,1,efi_sno,0
Anaemia and haematinic deficiency,436659,1,efi_sno,0
Anaemia and haematinic deficiency,4213893,1,efi_sno,0
Anaemia and haematinic deficiency,4098627,1,efi_sno,0
Anaemia and haematinic deficiency,435789,1,efi_sno,0
Anaemia and haematinic deficiency,40389974,1,efi_sno,0
Anaemia and haematinic deficiency,432588,1,efi_sno,0
Anaemia and haematinic deficiency,40389977,1,efi_sno,0
Anaemia and haematinic deficiency,4098740,1,efi_sno,0
Anaemia and haematinic deficiency,440977,1,efi_sno,0
Anaemia and haematinic deficiency,40389983,1,efi_sno,0
Anaemia and haematinic deficiency,4100987,1,efi_sno,0
Anaemia and haematinic deficiency,4098008,1,efi_sno,0
Anaemia and haematinic deficiency,4098009,1,efi_sno,0
Anaemia and haematinic deficiency,4101458,1,efi_sno,0
Anaemia and haematinic deficiency,436083,1,efi_sno,0
Anaemia and haematinic deficiency,4276524,1,efi_sno,0
Anaemia and haematinic deficiency,434622,1,efi_sno,0
Anaemia and haematinic deficiency,40390003,1,efi_sno,0
Anaemia and haematinic deficiency,435503,1,efi_sno,0
Anaemia and haematinic deficiency,30978,1,efi_sno,0
Anaemia and haematinic deficiency,4132431,1,efi_sno,0
Anaemia and haematinic deficiency,40390034,1,efi_sno,0
Anaemia and haematinic deficiency,22281,1,efi_sno,0
Anaemia and haematinic deficiency,30683,1,efi_sno,0
Anaemia and haematinic deficiency,26942,1,efi_sno,0
Anaemia and haematinic deficiency,440979,1,efi_sno,0
Anaemia and haematinic deficiency,40390052,1,efi_sno,0
Anaemia and haematinic deficiency,4098017,1,efi_sno,0
Anaemia and haematinic deficiency,4098753,1,efi_sno,0
Anaemia and haematinic deficiency,4098754,1,efi_sno,0
Anaemia and haematinic deficiency,4101578,1,efi_sno,0
Anaemia and haematinic deficiency,441269,1,efi_sno,0
Anaemia and haematinic deficiency,437834,1,efi_sno,0
Anaemia and haematinic deficiency,4098018,1,efi_sno,0
Anaemia and haematinic deficiency,4198102,1,efi_sno,0
Anaemia and haematinic deficiency,4098019,1,efi_sno,0
Anaemia and haematinic deficiency,4218100,1,efi_sno,0
Anaemia and haematinic deficiency,4297537,1,efi_sno,0
Anaemia and haematinic deficiency,439777,1,efi_sno,0
Anaemia and haematinic deficiency,137829,1,efi_sno,0
Anaemia and haematinic deficiency,40390408,1,efi_sno,0
Anaemia and haematinic deficiency,4146087,1,efi_sno,0
Anaemia and haematinic deficiency,4120448,1,efi_sno,0
Anaemia and haematinic deficiency,4101582,1,efi_sno,0
Anaemia and haematinic deficiency,4146088,1,efi_sno,0
Anaemia and haematinic deficiency,4101583,1,efi_sno,0
Anaemia and haematinic deficiency,4098027,1,efi_sno,0
Anaemia and haematinic deficiency,4100998,1,efi_sno,0
Anaemia and haematinic deficiency,4098760,1,efi_sno,0
Anaemia and haematinic deficiency,40390425,1,efi_sno,0
Anaemia and haematinic deficiency,4098145,1,efi_sno,0
Anaemia and haematinic deficiency,432282,1,efi_sno,0
Anaemia and haematinic deficiency,4231887,1,efi_sno,0
Anaemia and haematinic deficiency,4101584,1,efi_sno,0
Anaemia and haematinic deficiency,4101000,1,efi_sno,0
Anaemia and haematinic deficiency,40390437,1,efi_sno,0
Anaemia and haematinic deficiency,441258,1,efi_sno,0
Anaemia and haematinic deficiency,4101001,1,efi_sno,0
Anaemia and haematinic deficiency,40390451,1,efi_sno,0
Anaemia and haematinic deficiency,4280354,1,efi_sno,0
Anaemia and haematinic deficiency,4147491,1,efi_sno,0
Anaemia and haematinic deficiency,438722,1,efi_sno,0
Anaemia and haematinic deficiency,437247,1,efi_sno,0
Anaemia and haematinic deficiency,4114026,1,efi_sno,0
Anaemia and haematinic deficiency,4122924,1,efi_sno,0
Anaemia and haematinic deficiency,4121106,1,efi_sno,0
Anaemia and haematinic deficiency,4308125,1,efi_sno,0
Anaemia and haematinic deficiency,4125491,1,efi_sno,0
Anaemia and haematinic deficiency,434616,1,efi_sno,0
Anaemia and haematinic deficiency,4219853,1,efi_sno,0
Anaemia and haematinic deficiency,4122927,1,efi_sno,0
Anaemia and haematinic deficiency,4122928,1,efi_sno,0
Anaemia and haematinic deficiency,4300295,1,efi_sno,0
Anaemia and haematinic deficiency,140681,1,efi_sno,0
Anaemia and haematinic deficiency,4173028,1,efi_sno,0
Anaemia and haematinic deficiency,4160887,1,efi_sno,0
Anaemia and haematinic deficiency,4122079,1,efi_sno,0
Anaemia and haematinic deficiency,4116343,1,efi_sno,0
Anaemia and haematinic deficiency,44810002,1,efi_sno,0
Anaemia and haematinic deficiency,4028718,1,efi_sno,0
Anaemia and haematinic deficiency,4146771,1,efi_sno,0
Anaemia and haematinic deficiency,4146936,1,efi_sno,0
Anaemia and haematinic deficiency,4150547,1,efi_sno,0
Anaemia and haematinic deficiency,443961,1,efi_sno,0
Anaemia and haematinic deficiency,44789939,1,efi_sno,0
Anaemia and haematinic deficiency,44789940,1,efi_sno,0
Anaemia and haematinic deficiency,40479193,1,efi_sno,0
Anaemia and haematinic deficiency,44806268,1,efi_sno,0
Anaemia and haematinic deficiency,432875,1,efi_sno,0
Anaemia and haematinic deficiency,4143351,1,efi_sno,0
Anaemia and haematinic deficiency,4146086,1,efi_sno,0
Anaemia and haematinic deficiency,4184758,1,efi_sno,0
Anaemia and haematinic deficiency,434894,1,efi_sno,0
Anaemia and haematinic deficiency,40351339,1,efi_sno,0
Anaemia and haematinic deficiency,40351340,1,efi_sno,0
Anaemia and haematinic deficiency,432295,1,efi_sno,0
Anaemia and haematinic deficiency,4153000,1,efi_sno,0
Anaemia and haematinic deficiency,37393847,1,efi_sno,0
Arthritis,4058299,1,efi_sno,1
Arthritis,4060067,1,efi_sno,1
Arthritis,4056705,1,efi_sno,1
Arthritis,4058913,1,efi_sno,1
Arthritis,4079526,1,efi_sno,1
Arthritis,40263189,1,efi_sno,1
Arthritis,4101113,1,efi_sno,1
Arthritis,4096347,1,efi_sno,1
Arthritis,440674,1,efi_sno,1
Arthritis,74892,1,efi_sno,1
Arthritis,4116142,1,efi_sno,1
Arthritis,74125,1,efi_sno,1
Arthritis,80809,1,efi_sno,1
Arthritis,4116439,1,efi_sno,1
Arthritis,437082,1,efi_sno,1
Arthritis,4114439,1,efi_sno,1
Arthritis,4116149,1,efi_sno,1
Arthritis,4116440,1,efi_sno,1
Arthritis,4116441,1,efi_sno,1
Arthritis,4116442,1,efi_sno,1
Arthritis,4116443,1,efi_sno,1
Arthritis,4114440,1,efi_sno,1
Arthritis,4116150,1,efi_sno,1
Arthritis,4116444,1,efi_sno,1
Arthritis,4116151,1,efi_sno,1
Arthritis,4116445,1,efi_sno,1
Arthritis,4116446,1,efi_sno,1
Arthritis,4116152,1,efi_sno,1
Arthritis,4179378,1,efi_sno,1
Arthritis,4114441,1,efi_sno,1
Arthritis,4116153,1,efi_sno,1
Arthritis,4114442,1,efi_sno,1
Arthritis,4114444,1,efi_sno,1
Arthritis,80180,1,efi_sno,1
Arthritis,75617,1,efi_sno,1
Arthritis,4116451,1,efi_sno,1
