"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[65,70)",0,271801,27671,3133,186056,0.1018,0.0115,0.6845
"[80,100]",0,190338,67244,18954,96228,0.3532,0.0995,0.5055
"[70,75)",0,199575,34293,4891,136769,0.1718,0.0245,0.6853
"[55,60)",0,340523,10308,868,190238,0.0302,0.0025,0.5586
"[70,75)",1,241641,40176,5157,168870,0.1662,0.0213,0.6988
"[55,60)",1,374814,12005,938,210854,0.032,0.0025,0.5625
"[65,70)",1,307557,31090,3239,212383,0.101,0.0105,0.6905
"[40,45)",0,295609,1336,68,91039,0.0045,2e-04,0.3079
"[80,100]",1,293193,102881,25801,152753,0.3508,0.088,0.5209
"[50,55)",0,320929,5326,387,153915,0.0165,0.0012,0.4795
"[75,80)",1,184911,44048,7153,120270,0.2382,0.0386,0.6504
"[60,65)",0,334433,16880,1581,209426,0.0504,0.0047,0.6262
"[50,55)",1,352032,7041,404,175435,0.02,0.0011,0.4983
"[40,45)",1,320611,2195,81,115625,0.0068,2e-04,0.3606
"[75,80)",0,150283,37746,6915,94813,0.2511,0.046,0.6308
"[60,65)",1,373527,19363,1669,232936,0.0518,0.0044,0.6236
"[45,50)",1,328276,4154,239,142468,0.0126,7e-04,0.4339
"[45,50)",0,299216,2608,175,119142,0.0087,5e-04,0.3981
