"","age_group","is_female","category","n_yes","prop_yes","fi"
"1","[40,45)",1,"CAD",15285,0.0468459798579143,"vafi"
"2","[40,45)",0,"CAD",6878,0.0229179578426864,"vafi"
"3","[45,50)",0,"CAD",12144,0.0398745710955328,"vafi"
"4","[45,50)",1,"CAD",20506,0.0613071035637407,"vafi"
"5","[50,55)",1,"CAD",26892,0.0748228341527341,"vafi"
"6","[50,55)",0,"CAD",21323,0.0651129697658156,"vafi"
"7","[55,60)",0,"CAD",36463,0.104807648086829,"vafi"
"8","[55,60)",1,"CAD",35924,0.0937319803894454,"vafi"
"9","[60,65)",0,"CAD",53755,0.1571705500019,"vafi"
"10","[60,65)",1,"CAD",47497,0.124119350252958,"vafi"
"11","[65,70)",1,"CAD",61454,0.194649005280045,"vafi"
"12","[65,70)",0,"CAD",67457,0.242280686001616,"vafi"
"13","[70,75)",1,"CAD",70345,0.288683697547963,"vafi"
"14","[70,75)",0,"CAD",70658,0.351292899864272,"vafi"
"15","[75,80)",0,"CAD",68787,0.45580566286536,"vafi"
"16","[75,80)",1,"CAD",70232,0.377520359072218,"vafi"
"17","[80,100]",0,"CAD",105246,0.551447703480147,"vafi"
"18","[80,100]",1,"CAD",132272,0.449423237007968,"vafi"
"19","[40,45)",0,"Dementia",6316,0.0210488429135118,"vafi"
"20","[40,45)",1,"Dementia",5045,0.0154388048008716,"vafi"
"21","[45,50)",0,"Dementia",6607,0.0216820577444359,"vafi"
"22","[45,50)",1,"Dementia",5733,0.0171031709332609,"vafi"
"23","[50,55)",1,"Dementia",6669,0.0185076747600163,"vafi"
"24","[50,55)",0,"Dementia",7612,0.0232077416050294,"vafi"
"25","[55,60)",0,"Dementia",8982,0.0257262908256644,"vafi"
"26","[55,60)",1,"Dementia",8084,0.0210267307907393,"vafi"
"27","[60,65)",1,"Dementia",8836,0.0229898814340316,"vafi"
"28","[60,65)",0,"Dementia",9821,0.0285708467397059,"vafi"
"29","[65,70)",0,"Dementia",11452,0.0407897220728245,"vafi"
"30","[65,70)",1,"Dementia",10909,0.0343106419917722,"vafi"
"31","[70,75)",1,"Dementia",14040,0.0574404627966632,"vafi"
"32","[70,75)",0,"Dementia",12755,0.0632039522910504,"vafi"
"33","[75,80)",1,"Dementia",18650,0.100021988748197,"vafi"
"34","[75,80)",0,"Dementia",15535,0.102676122431445,"vafi"
"35","[80,100]",1,"Dementia",72381,0.245714149924976,"vafi"
"36","[80,100]",0,"Dementia",38900,0.203507229999791,"vafi"
"37","[40,45)",0,"Osteo",746,0.00248304969095018,"vafi"
"38","[40,45)",1,"Osteo",930,0.00284302816126389,"vafi"
"39","[45,50)",1,"Osteo",1760,0.00524624565545282,"vafi"
"40","[45,50)",0,"Osteo",847,0.00277621176563135,"vafi"
"41","[50,55)",0,"Osteo",1188,0.00361734131503145,"vafi"
"42","[50,55)",1,"Osteo",4042,0.0112104949314252,"vafi"
"43","[55,60)",1,"Osteo",10558,0.027458752054595,"vafi"
"44","[55,60)",0,"Osteo",1734,0.00496073466935588,"vafi"
"45","[60,65)",1,"Osteo",20312,0.0528963843373369,"vafi"
"46","[60,65)",0,"Osteo",2319,0.00673712711933343,"vafi"
"47","[65,70)",1,"Osteo",31406,0.0990175801447777,"vafi"
"48","[65,70)",0,"Osteo",3093,0.0109975288449572,"vafi"
"49","[70,75)",1,"Osteo",33683,0.137858633814922,"vafi"
"50","[70,75)",0,"Osteo",3689,0.0182614722043463,"vafi"
"51","[75,80)",0,"Osteo",4185,0.027631240137595,"vafi"
"52","[75,80)",1,"Osteo",31102,0.166788219395525,"vafi"
"53","[80,100]",1,"Osteo",59555,0.201984744733745,"vafi"
"54","[80,100]",0,"Osteo",8502,0.0444221515118266,"vafi"
"55","[40,45)",0,"Ischaemic heart disease",3831,0.0127573277211303,"efragicap"
"56","[40,45)",1,"Ischaemic heart disease",2806,0.00858048871479202,"efragicap"
"57","[45,50)",0,"Ischaemic heart disease",7664,0.0251454294310453,"efragicap"
"58","[45,50)",1,"Ischaemic heart disease",4915,0.0146581213149662,"efragicap"
"59","[50,55)",0,"Ischaemic heart disease",14604,0.0445525072225459,"efragicap"
"60","[50,55)",1,"Ischaemic heart disease",7988,0.0221687522722416,"efragicap"
"61","[55,60)",0,"Ischaemic heart disease",25166,0.0722204206496566,"efragicap"
"62","[55,60)",1,"Ischaemic heart disease",12889,0.033538029195181,"efragicap"
"63","[60,65)",1,"Ischaemic heart disease",18475,0.0481221299284484,"efragicap"
"64","[60,65)",0,"Ischaemic heart disease",37556,0.109599115175958,"efragicap"
"65","[65,70)",1,"Ischaemic heart disease",24295,0.0765416229533504,"efragicap"
"66","[65,70)",0,"Ischaemic heart disease",46833,0.167657103580608,"efragicap"
"67","[70,75)",0,"Ischaemic heart disease",49079,0.243689175769613,"efragicap"
"68","[70,75)",1,"Ischaemic heart disease",28588,0.117056952047923,"efragicap"
"69","[75,80)",0,"Ischaemic heart disease",48452,0.320763710510288,"efragicap"
"70","[75,80)",1,"Ischaemic heart disease",30023,0.161091794904814,"efragicap"
"71","[80,100]",0,"Ischaemic heart disease",76647,0.401301597939224,"efragicap"
"72","[80,100]",1,"Ischaemic heart disease",65293,0.221562778891932,"efragicap"
"73","[40,45)",0,"Memory & cognitive problems",224,0.000745483832319387,"efragicap"
"74","[40,45)",1,"Memory & cognitive problems",306,0.000935339320320094,"efragicap"
"75","[45,50)",0,"Memory & cognitive problems",344,0.00112744375071694,"efragicap"
"76","[45,50)",1,"Memory & cognitive problems",481,0.00143354861398798,"efragicap"
"77","[50,55)",0,"Memory & cognitive problems",556,0.00169285105346486,"efragicap"
"78","[50,55)",1,"Memory & cognitive problems",666,0.00184643535396942,"efragicap"
