"age_group","is_female","n","percent_group"
"[60,65)",1,384813,0.07270425
"[60,65)",0,344312,0.06505223
"[50,55)",1,360738,0.06815566
"[45,50)",1,335558,0.06339831
"[40,45)",1,327169,0.06181334
"[75,80)",0,151488,0.02862123
"[45,50)",0,305129,0.05764923
"[80,100]",1,295206,0.05577444
"[50,55)",0,328467,0.06205857
"[75,80)",1,186752,0.03528379
"[55,60)",1,384918,0.07272409
"[40,45)",0,300490,0.05677277
"[70,75)",0,202067,0.03817732
"[65,70)",0,281362,0.05315884
"[70,75)",1,244787,0.04624858
"[55,60)",0,349624,0.06605585
"[65,70)",1,318542,0.0601834
"[80,100]",0,191432,0.03616801
