"","age_group","is_female","category","n_yes","prop_yes","fi"
"1","[40,45)",0,"CAD","591",0.0966001961425302,"vafi"
"2","[40,45)",1,"CAD","1300",0.107696131223594,"vafi"
"3","[45,50)",0,"CAD","1041",0.144724037258446,"vafi"
"4","[45,50)",1,"CAD","1869",0.145334370139969,"vafi"
"5","[50,55)",0,"CAD","1815",0.192124483963163,"vafi"
"6","[50,55)",1,"CAD","2656",0.16864562829386,"vafi"
"7","[55,60)",0,"CAD","2808",0.230314960629921,"vafi"
"8","[55,60)",1,"CAD","3489",0.188116676551464,"vafi"
"9","[60,65)",0,"CAD","3784",0.288546591429007,"vafi"
"10","[60,65)",1,"CAD","4063",0.222021857923497,"vafi"
"11","[65,70)",1,"CAD","4430",0.251219235567653,"vafi"
"12","[65,70)",0,"CAD","4445",0.345699175610515,"vafi"
"13","[70,75)",1,"CAD","4345",0.303210048848569,"vafi"
"14","[70,75)",0,"CAD","4946",0.416996880532839,"vafi"
"15","[75,80)",1,"CAD","2906",0.340081919251024,"vafi"
"16","[75,80)",0,"CAD","3577",0.460301119547034,"vafi"
"17","[80,85)",1,"CAD","1594",0.385862987170177,"vafi"
"18","[80,85)",0,"CAD","1982",0.50846587993843,"vafi"
"19","[85,90)",1,"CAD","645",0.403377110694184,"vafi"
"20","[85,90)",0,"CAD","889",0.535219747140277,"vafi"
"21","[90,95)",1,"CAD","185",0.408388520971302,"vafi"
"22","[90,95)",0,"CAD","310",0.551601423487544,"vafi"
"23","[40,45)",0,"Dementia","247",0.0417723659732792,"vafi"
"24","[40,45)",1,"Dementia","317",0.0265405224380442,"vafi"
"25","[45,50)",0,"Dementia","335",0.0494246090292122,"vafi"
"26","[45,50)",1,"Dementia","425",0.0339701063064503,"vafi"
"27","[50,55)",0,"Dementia","488",0.0562665744263807,"vafi"
"28","[50,55)",1,"Dementia","550",0.0363973264509298,"vafi"
"29","[55,60)",1,"Dementia","683",0.0388752917069839,"vafi"
"30","[55,60)",0,"Dementia","691",0.0628753412192903,"vafi"
"31","[60,65)",1,"Dementia","735",0.0428571428571429,"vafi"
"32","[60,65)",0,"Dementia","776",0.067489998260567,"vafi"
"33","[65,70)",0,"Dementia","740",0.067352325475562,"vafi"
"34","[65,70)",1,"Dementia","806",0.0490715372907154,"vafi"
"35","[70,75)",0,"Dementia","730",0.0746955898905147,"vafi"
"36","[70,75)",1,"Dementia","848",0.065025688214094,"vafi"
"37","[75,80)",1,"Dementia","590",0.0768829814959604,"vafi"
"38","[75,80)",0,"Dementia","615",0.0971257106759318,"vafi"
"39","[80,85)",1,"Dementia","392",0.107103825136612,"vafi"
"40","[80,85)",0,"Dementia","460",0.146777281429483,"vafi"
"41","[85,90)",1,"Dementia","168",0.11965811965812,"vafi"
"42","[85,90)",0,"Dementia","185",0.139202407825433,"vafi"
"43","[90,95)",0,"Dementia","45",0.11166253101737,"vafi"
"44","[90,95)",1,"Dementia","61",0.151741293532338,"vafi"
"45","[40,45)",1,"Ischaemic heart disease","311",0.0259080306564478,"efragicap"
"46","[40,45)",0,"Ischaemic heart disease","338",0.0558585357792101,"efragicap"
"47","[45,50)",1,"Ischaemic heart disease","601",0.0474311419777445,"efragicap"
"48","[45,50)",0,"Ischaemic heart disease","642",0.0911284599006388,"efragicap"
"49","[50,55)",1,"Ischaemic heart disease","1043",0.0675430643699003,"efragicap"
"50","[50,55)",0,"Ischaemic heart disease","1210",0.131693513278189,"efragicap"
"51","[55,60)",1,"Ischaemic heart disease","1520",0.0840057477616889,"efragicap"
"52","[55,60)",0,"Ischaemic heart disease","1847",0.15716473791695,"efragicap"
"53","[60,65)",1,"Ischaemic heart disease","1842",0.103850707560467,"efragicap"
"54","[60,65)",0,"Ischaemic heart disease","2512",0.201265924204791,"efragicap"
"55","[65,70)",1,"Ischaemic heart disease","2053",0.120864241139762,"efragicap"
"56","[65,70)",0,"Ischaemic heart disease","2981",0.245936803894068,"efragicap"
"57","[70,75)",1,"Ischaemic heart disease","2165",0.158538371411834,"efragicap"
"58","[70,75)",0,"Ischaemic heart disease","3301",0.300939009937095,"efragicap"
"59","[75,80)",1,"Ischaemic heart disease","1510",0.187043230521491,"efragicap"
"60","[75,80)",0,"Ischaemic heart disease","2429",0.340625438227458,"efragicap"
"61","[80,85)",1,"Ischaemic heart disease","868",0.225396001038691,"efragicap"
"62","[80,85)",0,"Ischaemic heart disease","1360",0.384506644048629,"efragicap"
"63","[85,90)",1,"Ischaemic heart disease","362",0.244594594594595,"efragicap"
"64","[85,90)",0,"Ischaemic heart disease","602",0.405114401076716,"efragicap"
"65","[90,95)",1,"Ischaemic heart disease","111",0.26491646778043,"efragicap"
"66","[90,95)",0,"Ischaemic heart disease","220",0.440881763527054,"efragicap"
"67","[40,45)",0,"Memory & cognitive problems","<20",0.00136008160489629,"efragicap"
"68","[40,45)",1,"Memory & cognitive problems","24",0.00201680672268908,"efragicap"
"69","[45,50)",0,"Memory & cognitive problems","31",0.00459804212399881,"efragicap"
"70","[45,50)",1,"Memory & cognitive problems","40",0.00321491721588169,"efragicap"
"71","[50,55)",0,"Memory & cognitive problems","43",0.00499767549976755,"efragicap"
"72","[50,55)",1,"Memory & cognitive problems","48",0.00319552626323148,"efragicap"
"73","[55,60)",1,"Memory & cognitive problems","86",0.00492582622143307,"efragicap"
"74","[55,60)",0,"Memory & cognitive problems","101",0.00928735632183908,"efragicap"
"75","[60,65)",1,"Memory & cognitive problems","154",0.00904180366369187,"efragicap"
"76","[60,65)",0,"Memory & cognitive problems","159",0.0140137493389741,"efragicap"
"77","[65,70)",0,"Memory & cognitive problems","221",0.0203818131513419,"efragicap"
"78","[65,70)",1,"Memory & cognitive problems","223",0.013715480656867,"efragicap"
"79","[70,75)",0,"Memory & cognitive problems","251",0.0261458333333333,"efragicap"
"80","[70,75)",1,"Memory & cognitive problems","312",0.024219841639497,"efragicap"
"81","[75,80)",1,"Memory & cognitive problems","221",0.0292986875248575,"efragicap"
"82","[75,80)",0,"Memory & cognitive problems","290",0.0468497576736672,"efragicap"
"83","[80,85)",1,"Memory & cognitive problems","181",0.0506152125279642,"efragicap"
