"","age_group","is_female","category","N","n_yes","prop_yes","fi"
"1","[40,45)",0,"CAD",6118,"591",0.0966001961425302,"vafi"
"2","[40,45)",1,"CAD",12071,"1300",0.107696131223594,"vafi"
"3","[45,50)",0,"CAD",7193,"1041",0.144724037258446,"vafi"
"4","[45,50)",1,"CAD",12860,"1869",0.145334370139969,"vafi"
"5","[50,55)",0,"CAD",9447,"1815",0.192124483963163,"vafi"
"6","[50,55)",1,"CAD",15749,"2656",0.16864562829386,"vafi"
"7","[55,60)",0,"CAD",12192,"2808",0.230314960629921,"vafi"
"8","[55,60)",1,"CAD",18547,"3489",0.188116676551464,"vafi"
"9","[60,65)",0,"CAD",13114,"3784",0.288546591429007,"vafi"
"10","[60,65)",1,"CAD",18300,"4063",0.222021857923497,"vafi"
"11","[65,70)",1,"CAD",17634,"4430",0.251219235567653,"vafi"
"12","[65,70)",0,"CAD",12858,"4445",0.345699175610515,"vafi"
"13","[70,75)",1,"CAD",14330,"4345",0.303210048848569,"vafi"
"14","[70,75)",0,"CAD",11861,"4946",0.416996880532839,"vafi"
"15","[75,80)",1,"CAD",8545,"2906",0.340081919251024,"vafi"
"16","[75,80)",0,"CAD",7771,"3577",0.460301119547034,"vafi"
"17","[80,100)",1,"CAD",6263,"2458",0.392463675554846,"vafi"
"18","[80,100)",0,"CAD",6177,"3202",0.518374615509147,"vafi"
"19","[40,45)",0,"Dementia",5913,"247",0.0417723659732792,"vafi"
"20","[40,45)",1,"Dementia",11944,"317",0.0265405224380442,"vafi"
"21","[45,50)",0,"Dementia",6778,"335",0.0494246090292122,"vafi"
"22","[45,50)",1,"Dementia",12511,"425",0.0339701063064503,"vafi"
"23","[50,55)",0,"Dementia",8673,"488",0.0562665744263807,"vafi"
"24","[50,55)",1,"Dementia",15111,"550",0.0363973264509298,"vafi"
"25","[55,60)",1,"Dementia",17569,"683",0.0388752917069839,"vafi"
"26","[55,60)",0,"Dementia",10990,"691",0.0628753412192903,"vafi"
"27","[60,65)",1,"Dementia",17150,"735",0.0428571428571429,"vafi"
"28","[60,65)",0,"Dementia",11498,"776",0.067489998260567,"vafi"
"29","[65,70)",0,"Dementia",10987,"740",0.067352325475562,"vafi"
"30","[65,70)",1,"Dementia",16425,"806",0.0490715372907154,"vafi"
"31","[70,75)",0,"Dementia",9773,"730",0.0746955898905147,"vafi"
"32","[70,75)",1,"Dementia",13041,"848",0.065025688214094,"vafi"
"33","[75,80)",1,"Dementia",7674,"590",0.0768829814959604,"vafi"
"34","[75,80)",0,"Dementia",6332,"615",0.0971257106759318,"vafi"
"35","[80,100)",1,"Dementia",5552,"653",0.117615273775216,"vafi"
"36","[80,100)",0,"Dementia",4921,"698",0.14184108920951,"vafi"
"37","[40,45)",1,"Ischaemic heart disease",12004,"311",0.0259080306564478,"efragicap"
"38","[40,45)",0,"Ischaemic heart disease",6051,"338",0.0558585357792101,"efragicap"
"39","[45,50)",1,"Ischaemic heart disease",12671,"601",0.0474311419777445,"efragicap"
"40","[45,50)",0,"Ischaemic heart disease",7045,"642",0.0911284599006388,"efragicap"
"41","[50,55)",1,"Ischaemic heart disease",15442,"1043",0.0675430643699003,"efragicap"
"42","[50,55)",0,"Ischaemic heart disease",9188,"1210",0.131693513278189,"efragicap"
"43","[55,60)",1,"Ischaemic heart disease",18094,"1520",0.0840057477616889,"efragicap"
"44","[55,60)",0,"Ischaemic heart disease",11752,"1847",0.15716473791695,"efragicap"
"45","[60,65)",1,"Ischaemic heart disease",17737,"1842",0.103850707560467,"efragicap"
"46","[60,65)",0,"Ischaemic heart disease",12481,"2512",0.201265924204791,"efragicap"
"47","[65,70)",1,"Ischaemic heart disease",16986,"2053",0.120864241139762,"efragicap"
"48","[65,70)",0,"Ischaemic heart disease",12121,"2981",0.245936803894068,"efragicap"
"49","[70,75)",1,"Ischaemic heart disease",13656,"2165",0.158538371411834,"efragicap"
"50","[70,75)",0,"Ischaemic heart disease",10969,"3301",0.300939009937095,"efragicap"
"51","[75,80)",1,"Ischaemic heart disease",8073,"1510",0.187043230521491,"efragicap"
"52","[75,80)",0,"Ischaemic heart disease",7131,"2429",0.340625438227458,"efragicap"
"53","[80,100)",1,"Ischaemic heart disease",5823,"1358",0.233213120384681,"efragicap"
"54","[80,100)",0,"Ischaemic heart disease",5575,"2193",0.393363228699552,"efragicap"
