"","age_group","is_female","N","n_prefrail","n_frail","prefrail","frail","fi"
"1","[40,45)",1,11894,700,132,0.0588532032957794,0.0110980326214898,"efragicap"
"2","[40,45)",0,5881,283,68,0.0481210678456045,0.0115626594116647,"efragicap"
"3","[45,50)",1,12434,1047,227,0.0842046002895287,0.0182563937590478,"efragicap"
"4","[45,50)",0,6736,474,165,0.0703681710213777,0.0244952494061758,"efragicap"
"5","[50,55)",0,8594,760,245,0.0884337910169886,0.028508261577845,"efragicap"
"6","[50,55)",1,15015,1495,390,0.0995670995670996,0.025974025974026,"efragicap"
"7","[55,60)",1,17445,2099,588,0.120321008885067,0.0337059329320722,"efragicap"
"8","[55,60)",0,10842,1147,374,0.105792289245527,0.034495480538646,"efragicap"
"9","[60,65)",1,16990,2499,739,0.147086521483225,0.0434961742201295,"efragicap"
"10","[60,65)",0,11298,1535,515,0.135864754823863,0.0455832890777129,"efragicap"
"11","[65,70)",1,16190,2880,907,0.177887584928969,0.0560222359481161,"efragicap"
"12","[65,70)",0,10766,1777,580,0.165056659855099,0.0538733048485974,"efragicap"
"13","[70,75)",1,12771,2785,921,0.218072194816381,0.0721165139769791,"efragicap"
"14","[70,75)",0,9530,1961,585,0.205771248688353,0.0613850996852046,"efragicap"
"15","[75,80)",0,6090,1384,498,0.227257799671593,0.0817733990147783,"efragicap"
"16","[75,80)",1,7475,1764,656,0.235986622073579,0.0877591973244147,"efragicap"
"17","[80,100)",1,5284,1368,761,0.25889477668433,0.144019682059046,"efragicap"
"18","[80,100)",0,4630,1178,565,0.254427645788337,0.122030237580994,"efragicap"
"19","[40,45)",1,11894,1534,797,0.128972591222465,0.0670085757524802,"vafi"
"20","[40,45)",0,5881,572,321,0.0972623703451794,0.0545825539874171,"vafi"
"21","[45,50)",1,12434,1785,1233,0.143557986166962,0.0991635837220524,"vafi"
"22","[45,50)",0,6736,813,575,0.120694774346793,0.0853622327790974,"vafi"
"23","[50,55)",1,15015,2513,1731,0.167365967365967,0.115284715284715,"vafi"
"24","[50,55)",0,8594,1156,877,0.134512450546893,0.102047940423551,"vafi"
"25","[55,60)",0,10842,1581,1304,0.145821804095185,0.120273012359343,"vafi"
"26","[55,60)",1,17445,2993,2333,0.171567784465463,0.133734594439668,"vafi"
"27","[60,65)",1,16990,3213,2610,0.189111241907004,0.153619776339023,"vafi"
"28","[60,65)",0,11298,1911,1648,0.169144981412639,0.145866525048681,"vafi"
"29","[65,70)",1,16190,3310,2852,0.204447189623224,0.176158122297715,"vafi"
"30","[65,70)",0,10766,2140,1772,0.198773917889653,0.164592234813301,"vafi"
"31","[70,75)",0,9530,2158,1817,0.226442812172088,0.190661070304302,"vafi"
"32","[70,75)",1,12771,2801,2668,0.219325033278522,0.208910813561976,"vafi"
"33","[75,80)",0,6090,1435,1294,0.235632183908046,0.21247947454844,"vafi"
"34","[75,80)",1,7475,1722,1688,0.230367892976589,0.225819397993311,"vafi"
"35","[80,100)",0,4630,1084,1290,0.234125269978402,0.278617710583153,"vafi"
"36","[80,100)",1,5284,1191,1558,0.225397426192279,0.294852384557154,"vafi"
