"","age_group","is_female","prefrail","frail"
"1","[40,45)",0,0.0063,2e-04
"2","[65,70)",0,0.1011,0.0104
"3","[65,70)",1,0.1002,0.0097
"4","[55,60)",0,0.0359,0.0024
"5","[70,75)",0,0.1628,0.0214
"6","[55,60)",1,0.0382,0.0023
"7","[70,75)",1,0.1575,0.019
"8","[85,90)",1,0.3549,0.0801
"9","[85,90)",0,0.3611,0.0914
"10","[60,65)",1,0.0555,0.0041
"11","[75,80)",0,0.2372,0.0403
"12","[75,80)",1,0.2238,0.0354
"13","[50,55)",1,0.0254,0.0012
"14","[80,85)",0,0.3411,0.0839
"15","[80,85)",1,0.3304,0.0745
"16","[60,65)",0,0.0561,0.0045
"17","[50,55)",0,0.0214,0.0011
"18","[45,50)",1,0.0165,6e-04
"19","[45,50)",0,0.0125,5e-04
"20","[40,45)",1,0.0091,2e-04
