"","age_group","is_female","prefrail","frail"
"1","[55,60)",0,0.0845,0.0107
"2","[65,70)",0,0.2183,0.0434
"3","[55,60)",1,0.1024,0.0121
"4","[70,75)",1,0.337,0.0891
"5","[65,70)",1,0.2473,0.0477
"6","[40,45)",0,0.0176,0.0013
"7","[70,75)",0,0.312,0.0845
"8","[85,90)",1,0.4286,0.2896
"9","[85,90)",0,0.4199,0.2873
"10","[45,50)",0,0.0317,0.0029
"11","[75,80)",1,0.3962,0.1477
"12","[80,85)",0,0.4127,0.266
"13","[80,85)",1,0.4236,0.2665
"14","[50,55)",0,0.0536,0.0053
"15","[60,65)",1,0.1483,0.0206
"16","[60,65)",0,0.1294,0.0191
"17","[75,80)",0,0.3827,0.1487
"18","[45,50)",1,0.0479,0.0037
"19","[40,45)",1,0.0299,0.0019
"20","[50,55)",1,0.0715,0.0065
