"age_group","is_female","n","percent_group"
"[40,45)",0,5881,0.031
"[40,45)",1,11894,0.063
"[45,50)",0,6736,0.035
"[45,50)",1,12434,0.065
"[50,55)",0,8594,0.045
"[50,55)",1,15015,0.079
"[55,60)",0,10842,0.057
"[55,60)",1,17445,0.092
"[60,65)",0,11298,0.06
"[60,65)",1,16990,0.089
"[65,70)",0,10766,0.057
"[65,70)",1,16190,0.085
"[70,75)",0,9530,0.05
"[70,75)",1,12771,0.067
"[75,80)",0,6090,0.032
"[75,80)",1,7475,0.039
"[80,85)",0,2932,0.015
"[80,85)",1,3509,0.018
"[85,90)",0,1251,0.007
"[85,90)",1,1332,0.007
"[90,95)",0,394,0.002
"[90,95)",1,377,0.002
