"","age_group","is_female","category","N","n_yes","prop_yes","fi"
"1","[40,45)",0,"CAD",5881,"354",0.0601938445842544,"vafi"
"2","[40,45)",1,"CAD",11894,"1123",0.0944173532873718,"vafi"
"3","[45,50)",0,"CAD",6736,"584",0.0866983372921615,"vafi"
"4","[45,50)",1,"CAD",12434,"1443",0.116052758565224,"vafi"
"5","[50,55)",0,"CAD",8594,"962",0.111938561787293,"vafi"
"6","[50,55)",1,"CAD",15015,"1922",0.128005328005328,"vafi"
"7","[55,60)",0,"CAD",10842,"1458",0.134477033757609,"vafi"
"8","[55,60)",1,"CAD",17445,"2387",0.13683003725996,"vafi"
"9","[60,65)",0,"CAD",11298,"1968",0.174190122145512,"vafi"
"10","[60,65)",1,"CAD",16990,"2753",0.162036492054149,"vafi"
"11","[65,70)",0,"CAD",10766,"2353",0.218558424670258,"vafi"
"12","[65,70)",1,"CAD",16190,"2986",0.184434836318715,"vafi"
"13","[70,75)",0,"CAD",9530,"2615",0.274396642182581,"vafi"
"14","[70,75)",1,"CAD",12771,"2786",0.218150497220265,"vafi"
"15","[75,80)",1,"CAD",7475,"1836",0.24561872909699,"vafi"
"16","[75,80)",0,"CAD",6090,"1896",0.311330049261084,"vafi"
"17","[80,100)",1,"CAD",5284,"1479",0.279901589704769,"vafi"
"18","[80,100)",0,"CAD",4630,"1655",0.357451403887689,"vafi"
"19","[40,45)",0,"Dementia",5881,"215",0.0365584084339398,"vafi"
"20","[40,45)",1,"Dementia",11894,"267",0.0224482932571044,"vafi"
"21","[45,50)",0,"Dementia",6736,"293",0.0434976247030879,"vafi"
"22","[45,50)",1,"Dementia",12434,"348",0.0279877754543992,"vafi"
"23","[50,55)",0,"Dementia",8594,"409",0.0475913427973004,"vafi"
"24","[50,55)",1,"Dementia",15015,"454",0.0302364302364302,"vafi"
"25","[55,60)",0,"Dementia",10842,"543",0.0500830105146652,"vafi"
"26","[55,60)",1,"Dementia",17445,"559",0.0320435654915449,"vafi"
"27","[60,65)",1,"Dementia",16990,"575",0.0338434373160683,"vafi"
"28","[60,65)",0,"Dementia",11298,"576",0.0509824747742963,"vafi"
"29","[65,70)",0,"Dementia",10766,"519",0.0482073193386587,"vafi"
"30","[65,70)",1,"Dementia",16190,"571",0.0352686843730698,"vafi"
"31","[70,75)",0,"Dementia",9530,"487",0.0511017838405037,"vafi"
"32","[70,75)",1,"Dementia",12771,"578",0.045258789444836,"vafi"
"33","[75,80)",0,"Dementia",6090,"373",0.061247947454844,"vafi"
"34","[75,80)",1,"Dementia",7475,"391",0.0523076923076923,"vafi"
"35","[80,100)",1,"Dementia",5284,"385",0.0728614685844057,"vafi"
"36","[80,100)",0,"Dementia",4630,"407",0.0879049676025918,"vafi"
"37","[40,45)",0,"Ischaemic heart disease",5881,"168",0.0285665703111716,"efragicap"
"38","[40,45)",1,"Ischaemic heart disease",11894,"201",0.0168992769463595,"efragicap"
"39","[45,50)",0,"Ischaemic heart disease",6736,"333",0.0494358669833729,"efragicap"
"40","[45,50)",1,"Ischaemic heart disease",12434,"364",0.0292745697281647,"efragicap"
"41","[50,55)",1,"Ischaemic heart disease",15015,"616",0.041025641025641,"efragicap"
"42","[50,55)",0,"Ischaemic heart disease",8594,"616",0.071677914824296,"efragicap"
"43","[55,60)",1,"Ischaemic heart disease",17445,"871",0.0499283462310117,"efragicap"
"44","[55,60)",0,"Ischaemic heart disease",10842,"937",0.0864231691569821,"efragicap"
"45","[60,65)",1,"Ischaemic heart disease",16990,"1095",0.0644496762801648,"efragicap"
"46","[60,65)",0,"Ischaemic heart disease",11298,"1329",0.117631439192777,"efragicap"
"47","[65,70)",1,"Ischaemic heart disease",16190,"1257",0.0776405188387894,"efragicap"
"48","[65,70)",0,"Ischaemic heart disease",10766,"1626",0.151031023592792,"efragicap"
"49","[70,75)",1,"Ischaemic heart disease",12771,"1280",0.100227076971263,"efragicap"
