"","age_group","is_female","prefrail","frail"
"1","[50,55)",1,0.1926,0.0608
"2","[80,85)",1,0.2964,0.5336
"3","[60,65)",0,0.2271,0.0997
"4","[60,65)",1,0.2496,0.1135
"5","[40,45)",1,0.1297,0.0268
"6","[75,80)",1,0.3438,0.3753
"7","[50,55)",0,0.1521,0.0445
"8","[80,85)",0,0.2961,0.52
"9","[75,80)",0,0.3374,0.3646
"10","[45,50)",1,0.1598,0.0419
"11","[45,50)",0,0.112,0.028
"12","[70,75)",0,0.3304,0.2561
"13","[70,75)",1,0.3398,0.2772
"14","[55,60)",0,0.1866,0.0679
"15","[55,60)",1,0.2163,0.0832
"16","[65,70)",1,0.304,0.1894
"17","[65,70)",0,0.2886,0.1694
"18","[40,45)",0,0.0829,0.0164
"19","[85,90)",1,0.2772,0.5706
"20","[85,90)",0,0.2887,0.554
