"age_group","is_female","n","prefrail","frail"
"[75,80)",0,141852,0.3573,0.2593
"[50,55)",0,195731,0.1355,0.0283
"[80,100]",1,285072,0.3402,0.4267
"[40,45)",1,174234,0.1183,0.0171
"[50,55)",1,232404,0.1681,0.0382
"[45,50)",0,160124,0.1074,0.0186
"[75,80)",1,174759,0.3555,0.2631
"[60,65)",1,284303,0.2253,0.0735
"[60,65)",0,249605,0.2061,0.0627
"[45,50)",1,198157,0.1446,0.0274
"[70,75)",1,220538,0.331,0.1842
"[80,100]",0,184743,0.3443,0.4174
"[55,60)",0,230606,0.1692,0.044
"[65,70)",1,260954,0.2841,0.1223
"[65,70)",0,227789,0.2702,0.1091
"[55,60)",1,266051,0.1941,0.0541
"[40,45)",0,136271,0.0842,0.0114
"[70,75)",0,180618,0.3254,0.1723
